OutcomeType,AgeuponOutcome,ageInDaysAtOutcome,hasAge,Dog,pureBreed,hasName,Multi-Colored,Patterned,SexuponOutcome_Intact Female,SexuponOutcome_Intact Male,SexuponOutcome_Neutered Male,SexuponOutcome_Spayed Female,SexuponOutcome_Unknown
Return_to_owner,365,365.0,1,1,0,1,1,0,0.0,0.0,1.0,0.0,0.0
Euthanasia,365,365.0,1,0,0,1,1,1,0.0,0.0,0.0,1.0,0.0
Adoption,730,730.0,1,1,0,1,1,0,0.0,0.0,1.0,0.0,0.0
Transfer,21,21.0,1,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0
Transfer,730,730.0,1,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0
Transfer,30,30.0,1,1,0,1,1,0,1.0,0.0,0.0,0.0,0.0
Transfer,21,21.0,1,0,0,1,1,1,0.0,1.0,0.0,0.0,0.0
Transfer,21,21.0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0
Adoption,150,150.0,1,1,0,1,1,0,0.0,0.0,0.0,1.0,0.0
Adoption,365,365.0,1,1,1,0,0,0,0.0,0.0,0.0,1.0,0.0
Transfer,730,730.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
Adoption,730,730.0,1,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0
Adoption,1460,1460.0,1,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0
Return_to_owner,730,730.0,1,1,0,1,1,0,0.0,0.0,1.0,0.0,0.0
Return_to_owner,365,365.0,1,1,0,1,1,0,0.0,0.0,1.0,0.0,0.0
Adoption,90,90.0,1,0,0,1,1,1,0.0,0.0,1.0,0.0,0.0
Transfer,21,21.0,1,0,0,0,1,1,0.0,1.0,0.0,0.0,0.0
Transfer,14,14.0,1,1,0,0,1,0,1.0,0.0,0.0,0.0,0.0
Transfer,730,730.0,1,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0
Return_to_owner,365,365.0,1,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0
Transfer,60,60.0,1,1,0,1,1,0,0.0,1.0,0.0,0.0,0.0
Transfer,365,365.0,1,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0
Adoption,730,730.0,1,1,0,1,1,1,0.0,0.0,0.0,1.0,0.0
Adoption,300,300.0,1,1,0,1,1,0,0.0,0.0,1.0,0.0,0.0
Return_to_owner,60,60.0,1,1,0,1,1,0,0.0,0.0,1.0,0.0,0.0
Transfer,30,30.0,1,0,0,1,1,1,1.0,0.0,0.0,0.0,0.0
Adoption,180,180.0,1,1,0,1,1,0,0.0,0.0,0.0,1.0,0.0
