OutcomeType,AgeuponOutcome,Dog,pureBreed,hasName,Multi-Colored,Patterned,SexuponOutcome_Intact Female,SexuponOutcome_Intact Male,SexuponOutcome_Neutered Male,SexuponOutcome_Spayed Female
Return_to_owner,365,1,0,1,1,0,0.0,0.0,1.0,0.0
Euthanasia,365,0,0,1,1,1,0.0,0.0,0.0,1.0
Adoption,730,1,0,1,1,0,0.0,0.0,1.0,0.0
Transfer,21,0,0,0,1,0,0.0,1.0,0.0,0.0
Transfer,730,1,0,0,0,0,0.0,0.0,1.0,0.0
Transfer,30,1,0,1,1,0,1.0,0.0,0.0,0.0
Transfer,21,0,0,1,1,1,0.0,1.0,0.0,0.0
Adoption,150,1,0,1,1,0,0.0,0.0,0.0,1.0
Adoption,365,1,1,0,0,0,0.0,0.0,0.0,1.0
Adoption,730,1,0,0,0,0,0.0,0.0,0.0,1.0
Adoption,1460,1,0,1,0,0,0.0,0.0,1.0,0.0
Return_to_owner,730,1,0,1,1,0,0.0,0.0,1.0,0.0
Return_to_owner,365,1,0,1,1,0,0.0,0.0,1.0,0.0
Adoption,90,0,0,1,1,1,0.0,0.0,1.0,0.0
Transfer,21,0,0,0,1,1,0.0,1.0,0.0,0.0
Transfer,14,1,0,0,1,0,1.0,0.0,0.0,0.0
Transfer,730,0,0,1,0,0,1.0,0.0,0.0,0.0
Return_to_owner,365,1,0,1,0,0,0.0,0.0,1.0,0.0
Transfer,60,1,0,1,1,0,0.0,1.0,0.0,0.0
Transfer,365,0,0,1,0,0,0.0,0.0,0.0,1.0
Adoption,730,1,0,1,1,1,0.0,0.0,0.0,1.0
Adoption,300,1,0,1,1,0,0.0,0.0,1.0,0.0
Return_to_owner,60,1,0,1,1,0,0.0,0.0,1.0,0.0
Transfer,30,0,0,1,1,1,1.0,0.0,0.0,0.0
Adoption,180,1,0,1,1,0,0.0,0.0,0.0,1.0
Adoption,1825,1,0,1,1,0,0.0,0.0,0.0,1.0
Adoption,60,0,0,1,1,1,0.0,0.0,0.0,1.0
Return_to_owner,2555,0,0,1,0,0,0.0,0.0,1.0,0.0
Euthanasia,1095,0,0,0,1,1,0.0,0.0,0.0,1.0
Transfer,120,1,0,1,1,0,0.0,1.0,0.0,0.0
Adoption,60,0,0,0,1,1,0.0,0.0,0.0,1.0
Return_to_owner,1825,1,0,1,1,0,0.0,0.0,1.0,0.0
Transfer,1095,1,0,1,0,0,0.0,0.0,1.0,0.0
Euthanasia,1095,1,0,0,0,0,0.0,1.0,0.0,0.0
Return_to_owner,1095,1,0,1,1,0,0.0,0.0,1.0,0.0
Transfer,60,0,0,0,1,0,0.0,1.0,0.0,0.0
Transfer,120,0,0,1,1,0,0.0,0.0,1.0,0.0
Transfer,21,0,0,0,1,1,0.0,1.0,0.0,0.0
Adoption,2555,0,0,1,1,1,0.0,0.0,0.0,1.0
Transfer,60,0,0,0,1,1,0.0,1.0,0.0,0.0
Transfer,60,0,0,1,1,1,1.0,0.0,0.0,0.0
Transfer,1460,0,0,0,1,0,0.0,1.0,0.0,0.0
Adoption,730,0,0,1,1,0,0.0,0.0,1.0,0.0
Return_to_owner,4380,1,1,1,1,1,0.0,0.0,1.0,0.0
Return_to_owner,3285,0,0,1,1,0,0.0,0.0,0.0,1.0
Transfer,21,0,0,0,0,0,1.0,0.0,0.0,0.0
Adoption,150,1,0,1,1,0,0.0,0.0,0.0,1.0
Euthanasia,2190,1,0,0,1,0,0.0,1.0,0.0,0.0
Transfer,365,0,0,0,1,1,1.0,0.0,0.0,0.0
Adoption,90,0,0,1,1,1,0.0,0.0,0.0,1.0
Transfer,21,0,0,0,1,1,1.0,0.0,0.0,0.0
Adoption,730,1,0,1,1,0,0.0,0.0,1.0,0.0
Adoption,60,0,0,1,1,1,0.0,0.0,0.0,1.0
Transfer,7,0,0,0,0,0,0.0,1.0,0.0,0.0
Adoption,60,0,0,1,1,1,0.0,0.0,0.0,1.0
Transfer,365,1,0,0,0,0,0.0,1.0,0.0,0.0
Return_to_owner,1460,1,0,1,1,0,0.0,0.0,0.0,1.0
Adoption,730,1,0,1,1,0,0.0,0.0,1.0,0.0
Transfer,365,0,0,1,1,1,0.0,1.0,0.0,0.0
Euthanasia,4015,1,0,1,1,0,0.0,0.0,0.0,1.0
Transfer,30,0,0,1,0,0,1.0,0.0,0.0,0.0
Adoption,730,1,0,1,1,0,0.0,0.0,0.0,1.0
Return_to_owner,2190,1,0,1,0,0,0.0,0.0,0.0,1.0
